================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  ASPREMONT-LYNDEN (Robert D').txt | 339 mots | 2141 car. | OK
  ASSCHE (Godefroid et Henri D').txt | 1077 mots | 6662 car. | OK
  ASSCHE (Henri VAN).txt | 413 mots | 2482 car. | OK
  ASSELIERS (Jean VAN).txt | 466 mots | 3055 car. | OK
  ASSELIERS (Robert D' ou VAN).txt | 825 mots | 5030 car. | OK
  ASSIGMES (Jean D').txt | 461 mots | 2852 car. | OK
  ASSONEVILLE (Jacques D') ou DASSONVILLE.txt | 45 mots | 311 car. | OK
  ASSONLEVILLE (Christophe D') ou ASSONVILLE ou DASSONLEVILLE.txt | 2093 mots | 12845 car. | OK
  ASSONLEVILLE (Guillaume D').txt | 103 mots | 716 car. | OK
  ASSONLEVILLE (Hubert D').txt | 98 mots | 696 car. | OK
  ASTROY (Barthélemy D').txt | 643 mots | 3995 car. | OK
  ATHIN (Wathier ou Wauthier D'), DATIN ou DATHYN, DATINIUS.txt | 1417 mots | 8672 car. | OK
  AUBERMONT (Jean-Antoine D').txt | 325 mots | 2269 car. | OK
  AUBERT OU ALBERT DE BAVIÈRE.txt | 1650 mots | 9807 car. | OK
  AUBLUX (Albert-Gilain-Joseph).txt | 224 mots | 1388 car. | OK
  AUBREMÉ (Alexandre-Charles-Joseph-Ghislain, comte D').txt | 294 mots | 1883 car. | OK
  AUBRY (Philippe).txt | 383 mots | 2451 car. | OK
  AUCHY (Michel D').txt | 392 mots | 2353 car. | OK
  AUDEFROY LE BASTARD.txt | 690 mots | 3964 car. | OK
  AUDEJAN (Hubert), AUDEJANS ou OUDEJANS.txt | 205 mots | 1294 car. | OK
  AUDENAERDE (Robert VAN), AUDEN-AERD ou OUDENAERDE.txt | 2469 mots | 15238 car. | OK
  AUDENAERDE (Daniel VAN).txt | 120 mots | 752 car. | OK
  AUDENAERDE OU THOMAS A VIRGINE.txt | 70 mots | 481 car. | OK
  AUFFAY (Jean D') OU DAUFFAY.txt | 871 mots | 5115 car. | OK
  AUGUSTIN.txt | 75 mots | 446 car. | OK
  AURATA (Jacques).txt | 495 mots | 3037 car. | OK
  AUSTREBERTE (Sainte).txt | 173 mots | 1123 car. | OK
  AUSTRICUS (Liévin).txt | 298 mots | 1827 car. | OK
  AUTBODE ou OBODE (Saint).txt | 85 mots | 505 car. | OK
  AUTEL (Jean-Frédéric comte D').txt | 235 mots | 1533 car. | OK
  AUVERLOT (Albert).txt | 514 mots | 3268 car. | OK
  AUVIGNY (Jean DE CASTRE D').txt | 114 mots | 716 car. | OK
  AUVIN (Charles-Joseph-Arnold-Victor baron D') ou DAUVIN.txt | 739 mots | 4541 car. | OK
